"id","nombre_obra","tipo_de_obra","descripcion_obra","ente_contratante","localidad","partido","habitantes_afectados","fecha_contratacion","ente_financia","monto_presupuestado","porcentaje_obra"
"1.12","ESTACION DE BOMBEO CLOACAL ADROGUE SUR 2 - OBRA CIVIL","Cloaca","La Estación de Bombeo Cloacal Adrogue Sur tiene por objeto la evacuación de los efluentes cloacales de la red secundaria Adrogué Sur 2, ubicada en el Partido de Almirante Brown. Los efluentes cloacales serán descargados por medio de una línea de impulsión PVC DN 160 Clase 10 de aproximadamente 828 m de longitud, incluido en otro proyecto. El diseño adoptado cuenta con dos (2) bombas sumergibles aptas para líquido cloacal, una (1) en servicio y una (1) en reserva, para un caudal de llegada de 16 l/seg. 
Caudal de entrada: 16l/s = 57,6 m3/h","AySA","ADROGUÉ","Almirante Brown",0,"2016-09-30","AYSA - Fuente 1.1.",4848465.08,100
"1.13","RED PRIMARIA CLOACAL IMPULSION ADROGUE SUR 2","Cloaca","La Impulsión Adrogué Sur 2 es la encargada de transportar los líquidos generados por una parte de la RSC Adrogué Sur 2, los cuales descargan en la EB del mismo nombre ubicada en la calle Tejada esq. Wilson. Las obras consisten en Instalación de cañería colectora cloacal de PVC: 818 m DN 160 mm clase 10 y 10 m de DN 200 mm clase 6. Construcción de 3 cámaras: 1 para desagüe, 1 de acceso, 1 de válvula de aire. Ejecución de 1 boca de descarga y 2 empalmes","AySA","ADROGUÉ","Almirante Brown",0,"2016-09-30","AYSA - Fuente 1.1.",2915401.2,100
"1.14","RED SECUNDARIA CLOACAL BURZACO NORTE - PTDO DE ALMIRANTE BROWN.","Cloaca","Las obras a construir están destinadas a la evacuación de los efluentes cloacales provenientes de la zona denominada Burzaco Norte, ubicada en el Partido de Almirante Brown. Cabe aclarar que se tuvo en cuenta el futuro aporte de la zona denominada Burzaco Sur, mediante el proyecto de un colector primario de DN 400 mm. El área del proyecto es de aproximadamente 1,15 km2, abarcando 87 manzanas y 1.973 viviendas, de acuerdo a la información obtenida del Sistema de Información Geográfica de AA. Construcción de la red secundaria cloacal para la evacuación de los efluentes provenientes de la zona denominada Burzaco Norte, la red primaria consiste en la instalación de 513 m. de cañería colectora cloacal de DN400mm. de PVC clase 10. Construcción de 4 bocas de registro. Construcción de 1 empalme a BR existente de Colector Este Tramo IV DN700. Ejecución de 1 cruce de pluvial. Para la Red Secundari es la instalación de 23.979 m. de cañería colectora cloacal de DN 200 mm. PVC clase 6 y 112 m. de DN 225 mm. PVC clase 10. Ejecución de conexiones domiciliarias: 1.496 cortas y 896 largas. Construcción de 208 bocas de registro y 60 de acceso y ventilación. 8 empalmes a BR existente de Colector Este Tramo IV DN 700. 1 cruce de pluvial.","AySA","BURZACO","Almirante Brown",6294,"2017-01-30","AYSA - Fuente 1.1.",74179350.83,100
"1.15","RED SECUNDARIA CLOACAL ADROGUÉ SUR 2.","Cloaca","Construcción de la red secundaria cloacal para la evacuación de los efluentes provenientes de la zona denominada Adrogue Sur las obras a ejecutar consisten en la Instalación de cañería colectora cloacal de PVC: 7, con una longitud de 903 m. de DN 200mm. clase 6, 402 m. de DN 225 mm. clase 10 y 706 m. de DN315 y clase 6. Ejecución de conexiones domiciliarias 572 cortas y 262 largas. Construcción de 98 bocas de registro y 23 de bocas de acceso y ventilación.","AySA","ADROGUÉ","Almirante Brown",2929,"2017-01-20","AYSA - Fuente 1.1.",29691931.44,78
"1.16","ESTACION DE BOMBEO CLOACAL ADROGUE SUR 2 - OBRA ELECTROMECANICA","Cloaca","La Estación de Bombeo Cloacal Adrogue Sur tiene por objeto la evacuación de los efluentes cloacales de la red secundaria Adrogué Sur 2, ubicada en el Partido de Almirante Brown. Los efluentes cloacales serán descargados por medio de una línea de impulsión PVC DN 160 Clase 10 de aproximadamente 828 m de longitud, incluido en otro proyecto. El diseño adoptado cuenta con dos (2) bombas sumergibles aptas para líquido cloacal, una (1) en servicio y una (1) en reserva, para un caudal de llegada de 16 l/seg. 
Caudal de entrada: 16l/s = 57,6 m3/h","AySA","ADROGUÉ","Almirante Brown",0,"2016-09-30","AYSA - Fuente 1.1.",5425133.72,100
"1.17","PLAN AYSA  A+T ALM.BROWN El Canario M1","Agua","Red Secundaria de Agua","","Almirante Brown","Almirante Brown",1424,"2017-11-07","AYSA - Fuente 1.1.",5704300.06,100
"1.18","PLAN AYSA A+T ALMIRANTE BROWN - EL CANARIO M2 SA70206","Agua","Red Secundaria de Agua","","ALMIRANTE BROWN","Almirante Brown",1172,"2018-03-28","AYSA - Fuente 1.1.",3643823.78,100
"1.19","PLAN AYSA C+T ALTE BROWN-EL CANARIO M1 C+T","Cloaca","Red Secundaria de Cloaca","","ALMIRANTE BROWN","Almirante Brown",600,"2018-01-30","AYSA - Fuente 1.1.",4592555.3,100
"1.20","2018 - PLAN AYSA A+T ALM.BROWN ETAPA 9 (SA70211)","Agua","Red Secundaria de Agua","","Almirante Brown","Almirante Brown",0,"2018-07-20","AYSA - Fuente 1.1.",6152372.38,100
"1.21","Redes Colectoras Cloacales Domiciliarias - Calzada Marmol I","Cloaca","2211 metros de cañeria, 284 conexiones domiciliarias, 14 bocas de registro, construccion de camara de desobstruccion, ejecucion de empalme","MUNICIPALIDAD","Almirante Brown","Almirante Brown",5000,"2010-09-25","ENOHSA",1812834.83,100
"1.22","Colector Claypole Centro","Cloaca","290 conexiones domiciliarias, 29 bocas de registro, 1960 mts longitud de redes","MUNICIPALIDAD","Alte. Brown","Almirante Brown",1160,"2011-03-28","ENOHSA",2354582.81,77
"1.23","INT.ESP. PUESTA EN SERV. ETAPA 10 (SA 70236)","Agua","Red Secundaria de Agua","AySA","Almirante Brown","Almirante Brown",0,"2019-05-31","AYSA - Fuente 1.1.",7285951.25,54
"1.24","INT.ESP. PUESTA EN SERV. ETAPA 11 (SA 70237)","Agua","Red Secundaria de Agua","AySA","Almirante Brown","Almirante Brown",0,"2019-05-31","AYSA - Fuente 1.1.",6020349.96,55
"1.25","BARRIO VITUM MUNICIPAL M1 (SA70242) (1948B01)","Agua","Red Secundaria de Agua","AySA","Almirante Brown","Almirante Brown",4376,"2019-08-08","AYSA - Fuente 1.1.",11254172.78,5
"1.26","El Canario M3 C+T (SC70251)","Cloaca","Red Secundaria de Cloaca","","Almirante Brown","Almirante Brown",1800,"2019-07-10","AYSA - Fuente 1.1.",8344800.71,100
"1.27","PLAN AYSA A+T ALTE BROWN-EL CANARIO M3","Agua","Red Secundaria de Cloaca","","ALMIRANTE BROWN","Almirante Brown",1920,"2018-07-05","AYSA - Fuente 1.1.",5104465.77,100
"1.28","PLAN AYSA C+T ALMIRANTE BROWN -EL CANARIO C+T","Cloaca","Red Secundaria de Cloaca","","ALMIRANTE BROWN","Almirante Brown",868,"2019-07-10","AYSA - Fuente 1.1.",5753577.99,100
"1.29","ALIMENTACIÓN LONGCHAMPS ESTE (SA70250)","Agua","Red Primaria de Agua","","ALMIRANTE BROWN","Almirante Brown",0,"2020-07-17","AYSA - Fuente 1.1.",9809013.36,22
"1.30","EXPANSIÓN RED PRIMARIA INTERCONEXIÓN DE TANQUES B° MUNICIPAL-VITUN-VIPERMU (SA70251) - ALMIRANTE BROWN","Agua","Red Primaria de Agua","","Almirante Brown","Almirante Brown",0,"2021-02-25","AYSA - Fuente 1.1.",6842859.42,52
"1.31","Adrogue Sur 1 SC 501","CLOACA","Red Secundaria","","BURZACO","Almirante Brown",5949,"0000-00-00","En obra",0,0
"1.32","Adrogué Sur 1 EBC","CLOACA","EBC ","","BURZACO","Almirante Brown",7100,"0000-00-00","En obra",0,0
"1.33","EBC Esperanza Oeste","CLOACA","EBC ","","LONGCHAMPS","Almirante Brown",18000,"0000-00-00","En obra",0,0
"1.34","Esperanza Oeste II","CLOACA","Red Primaria","","LONGCHAMPS","Almirante Brown",6911,"0000-00-00","En Obra",0,0
"1.35","Esperanza Oeste I","CLOACA","Red Secundaria","","LONGCHAMPS","Almirante Brown",8030,"0000-00-00","En Obra",0,0
"2.1","Red secundaria de agua 1° etapa 154 viv. Barrio Alianza","Agua","Red frentista de agua potable","Municipalidad de Avellaneda","Dock Sud","Avellaneda",185,"0000-00-00","Instituto de la vivienda de la provincia de Bs. As.",999577.46,71.17
"2.2","Red secundaria cloacal 1° etapa 154 viv. Barrio Alianza","Cloaca","Red frentista cloacal ","Municipalidad de Avellaneda","Dock Sud","Avellaneda",95,"0000-00-00","Instituto de la vivienda de la provincia de Bs. As.",949220.51,0
"2.3","Red secundaria de agua ""El Cóndor""","Agua","Red frentista de agua potable","Municipalidad de Avellaneda","Centro","Avellaneda",800,"0000-00-00","Municipalidad de Avellaneda",727831.85,100
"2.4","Red secundaria de agua 2° etapa 154 viv. Barrio Alianza","Agua","Red frentista de agua potable","Municipalidad de Avellaneda","Dock Sud","Avellaneda",431,"0000-00-00","Instituto de la vivienda de la provincia de Bs. As.",2331988.97,100
"2.8","PLAN AYSA A+T D.R. SUR - VILLA INFLAMABLE","Agua","Red Secundaria de Agua","AySA","Avellaneda","Avellaneda",585,"0000-00-00","AySA - Fuente 1.1.",2709175.76,100
"2.9","PLAN AYSA C+T D.R. SUR - FOCO MURGUIONDO","Cloaca","Red Secundaria de Cloaca","AySA","Avellaneda","Avellaneda",560,"0000-00-00","AySA - Fuente 1.1.",3603470.7,100
"2.10; 2.11; 2.12; 2.13; 2.16; 2.17; 2.18"," Planta de Pretratamiento (PPT) Estación Elevadora de Entrada (EEE),  Estación de Bombeo de Salida (EBS)","Cloaca","Las obras comprenden la construcción de una Estación Elevadora de Entrada (EEE), una Planta de Pretratamiento (PPT) y una Estación de Bombeo de Salida (EBS) al Emisario Riachuelo. Los líquidos cloacales conducidos por el Desvío Colector Baja Costanera (incluido en RC002) llegan a la EEE, donde son elevados a una cota tal que permite que en la PPT la totalidad del proceso se desarrolle mediante un escurrimiento por gravedad. La PPT incluye una etapa tamizado y una de separación de arenas y flotantes, de forma tal que el efluente pretratado pueda ser difundido en las aguas del Río de la Plata sin inconvenientes, materializando un tratamiento por dilución. La EBS bombea los efluentes pretratados hacia una cámara de carga, dándole a los líquidos la altura necesaria para posibilitar su escurrimiento por el emisario subfluvial y su difusión en las aguas del río, en el extremo del mismo. La cámara de carga y el emisario pertenecen a la obra RC005.
","AySA","DOCK SUD","Avellaneda",5700000,"0000-00-00","AYSA - Fuente 1.1.",42400612,80.06
"2.14; 2.15; 2.20","EMISARIO PLANTA RIACHUELO + Inspección","Cloaca","Conducto en túnel de aproximadamente 10473m de longitud y 3,80 m de diámetro nominal que se extenderá a la salida de la Estación de Bombeo de Salida hasta una cámara de transición de Conducto de Secciónvariable para la instalación de difusores en el último tramo del túnel de 1510m de longitud total contruido en zanja dragada y fundada sobre pilotes. Camino Costero desde la desembocadura del Canal Sanrandí hasta el ingreso a la planta","AySA","Dock Sud","Avellaneda",5700000,"0000-00-00","BIRF - Fuente 1.1.",1183986121.58,100
"2.18; 2.19; 3.1; 3.2; ","COLECTOR MARGEN IZQUIERDO Y DESVIO BAJA COSTANERAy obras complementarias","Cloaca","Contrucción dos tramos de túnel mediante tecnología pipejacking y tuberías de hormigonde 1650 m de longitud de DN interno 8OOmm u 9560 m de longitud de DN inerto 2900. Construir las obras complementarias empalmadas al Colector Margen Izquierda de aproximadamente 11,000m de longitud de túnel de DN interno 1100 1000 y 800 y sus correspondiente obras de Desvío. Construir el Desvíon el Colector de la Baja Costanera de 5409 m de tunel Dn 4500mm mediante tecnología de revestimiento de dovelas","AySA","CABA y Avellaneda","CABA y Avellaneda",5700000,"0000-00-00","BIRF - Fuente 1.1.",855087850.93,100
"2.31","ESTRUCTURA ENTERRADA PARA LA FUTURA ESTACION ELEVADORA DE ENTRADA DE LA PLANTA DE PRETRATAMIENTO DOCK-SUD - PARTIDO DE AVELLANEDA","Cloaca","La obra civil de la estructura enterrada para la futura Estación Elevadora de Entrada a la Planta de Pretratamiento, comprende la ejecución de muros perimetrales de hormigón armado en base a la técnica de muros colados.","AySA","DOCK SUD","Avellaneda",0,"2018-05-24","AYSA - Fuente 1.1.",483616016.82,100
"2.21","Red secundaria cloacal 2° etapa 154 viv. Barrio Alianza","Cloaca","Red frentista cloacal ","Municipalidad de Avellaneda","Dock Sud","Avellaneda",521,"2017-10-13","Instituto de la vivienda de la provincia de Bs. As.",3472734.2,100
"2.22","VILLA TRANQUILA C+T","Cloaca","Red frentista cloacal ","C+T","Dock Sud","Avellaneda",1908,"2017-01-27","AySA",1952612,100
"2.23","VILLA TRANQUILA A+T","Agua","Red frentista de agua potable","Municipalidad de Avellaneda","Dock Sud","Avellaneda",1710,"2017-01-27","AySA",3004354.83,30
"2.24","CISTERNA DOCK SUD","Agua","","AYSA","Dock Sud","Avellaneda",0,"0000-00-00","AySA",229482759,0
"2.25","RED PRIMARIA DE AGUA REFUERZO VILLA INFLAMABLE","Agua","Red primaria de agua potable","Aysa","Dock Sud","Avellaneda",0,"0000-00-00","AYSA",112429970,3
"2.26","RENOVACIÓN DE RED SECUNDARIA DE AGUA GERLI - PIÑEYRO","Agua","Red frentista de agua potable","Aysa","Gerli - Piñeyro","Avellaneda",0,"0000-00-00","BID 2",133197130,0
"2.27","ESTACION BOMBEO CLOACAL SARMIENTO - OBRA CIVIL Y ELECTROMECÁNICA","Cloaca","Realización de las obras de una estación de bombeo cloacal (ingeniería detallada, provisión, transporte de equipos electromecánicos, montaje y puesta en funcionamiento), con el fin de evacuar los efluentes provenientes de la red secundaria del barrio Sarmiento. El diseño adoptado cuenta con tres bombas del tipo sumergibles de rotor autolimpiante, dos en servicio y una en reserva, de velocidad fija. Cada bomba tendrá una capacidad de 173 m3/h y una altura manométrica de 24 m. La población beneficiada es de 13.918 habitantes.","AYSA","GERLI","Avellaneda",0,"2021-04-14","AYSA",90493516.85,80
"2.28","RED SECUNDARIA CLOACAL SARMIENTO - 1° ETAPA.","Cloaca","El objetivo de las obras es la ejecución de la red secundaria para la evacuación de los efluentes cloacales provenientes del barrio Sarmiento, en Avellaneda. La red secundaria del proyecto descargará una gran parte a la futura E.B. Sarmiento, y el resto se empalma a las BR pertenecientes al proyecto RSC Gral Pinto y a un colector existente DN 3500mm. Las obras contemplan la instalación de 19.532 m de cañería colectora de DN 200mm PVC, 617 m de DN 225 y 398 m de DN 315, con sus respectivos accesorios; la ejecución de 1594 conexiones cortas y 775 largas, 178 bocas de registro, 43 bocas de acceso y ventilación, 2 empalmes y 1 cruce Pluvial.","","GERLI","Avellaneda",7637,"2022-01-05","AYSA - Fuente 1.1.",410226302.17,0
"2.29","VILLA INFLAMABLE M2 A+T","Agua","Red frentista de agua potable","Municipalidad de Avellaneda","","Avellaneda",0,"0000-00-00","AySA",4055585.95,96
"2.30","BARRIO LA SALADITA M1 (SA70224)","Agua","Red Secundaria de Cloaca","Municipalidad de Avellaneda","Avellaneda","Avellaneda",333,"0000-00-00","AySA - Fuente 1.1.",3430172.04,25
"2.32","Red de agua y nexo cloacal Alianza - Maciel","Agua","Red frentista de agua potable","Municipalidad de Avellaneda","Dock Sud","Avellaneda",200,"2019-03-18","Instituto de la vivienda de la provincia de Bs. As.",2032018.66,38.13
"2.33","RED PRIMARIA DE AGUA VILLA TRANQUILA, BARRIO ALIANZA E ISLA MACIEL - ETAPA 1 Y 3","Agua","La obra tiene por objeto la construcción de la cañería primaria que abastecerá de agua a los barrios Villa Tranquila, Barrio Alianza e Isla Maciel, en la zona de Dock Sud, en el Partido de Avellaneda. Las obras comenzarán con los trabajos de empalme al tapón de DN 700mm, luego continuarán con el tendido de 2.081 metros de cañería de F°D° de DN 500 mm, 500 metros de cañería PVC de DN 355 mm,  la colocación de ocho (8) cámaras para válvulas de aire, siete (7) cámaras de desagüe, una (1) toma para Motobomba, dos (2) Válvulas mariposas y una (1) válvula esclusa, la ejecución de dos (2) empalmes, 1 cruce de ruta, dos (2) cruces de FFCC y cuatro (4) cruces pluviales.","","DOCK SUD","Avellaneda",20800,"2019-03-01","AYSA",143247187.85,100
"2.34","RED SECUNDARIA CLOACAL AUTOPISTA Y 12 DE OCTUBRE (ETAPA II)","Cloaca","Red secundaraia cloacal","","-","Avellaneda",0,"0000-00-00","PFV",0,0
"2.35","RED SECUNDARIA DE AGUA  TELLIER - FALTANTES INFLAMABLE","Agua","Red Secundaria de Agua","","Avellaneda","Avellaneda",1720,"2020-12-23","AYSA - Fuente 2.2.",47352802,100
"2.36"," NEXO CLOACAL ALIANZA - MACIEL","Cloaca","Obra secundaria","Municipalidad de Avellaneda","Dock Sud","Avellaneda",200,"2019-03-18","Instituto de la vivienda de la provincia de Bs. As.",0,100
"2.37","RED DE AGUA ALIANZA - MACIEL","Agua","Obra secundaria","Municipalidad de Avellaneda","Dock Sud","Avellaneda",200,"2019-03-18","Instituto de la vivienda de la provincia de Bs. As.",2032018.66,100
"2.38","RENOVACIÓN RED SECUNDARIA DE AGUA - DMA 10 AVELLANEDA","AGUA","Renovación de 20239 m de cañerías y 2772 conexiones de la red secundaria de agua afectando en las mallas 6041, 6042, 6043, 6046, 6047, 6054, 6055, mediante la colocación de cañerías de PEAD.","","Avellaneda","Avellaneda",13729,"2021-03-30","BID - Fuente 1.1.",301006284.15,0
"2.39","RED PRIMARIA CLOACAL COLECTOR MONTES DE OCA REGIÓN SUDESTE (2160308)","CLOACA","El objetivo de las obras es la construcción de la red primaria cloacal Impulsión Montes de Oca de la estación de bombeo homónima, ubicada en el Partido de Avellaneda. La impulsión volcará a la 1ra Cloaca Máxima.
Se contempla la instalación de 952 metros de cañería colectora cloacal de PVC de DN 315 mm y 15 metros de cañería cloacal de PRFV de DN 600 mm, con sus respectivos accesorios, la construcción de 4 cámaras de acceso, 1 cámara para desagüe, 1 cámara para válvula de aire y 1 cámara para boca de descarga, la instalación de 2 válvulas esclusas y 1 válvula de aire, la ejecución de 2 empalmes, uno a la cañería de salida de la Estación de Bombeo y otra a la boca de registro existente perteneciente a 1° Cloaca Máxima y la construcción de 1 cruce de pluvial.","","Avellaneda","Avellaneda",19813,"2021-06-24","AYSA - Fuente 1.1.",46689158.63,0
"2.40","RED PRIMARIA CLOACAL IMPULSIÓN MONTES DE OCA REGIÓN SUDESTE (2160309)","CLOACA","El objetivo de las obras es la construcción de la red primaria cloacal Impulsión Montes de Oca de la estación de bombeo homónima, ubicada en el Partido de Avellaneda. La impulsión volcará a la 1ra Cloaca Máxima.
Se contempla la instalación de 952 metros de cañería colectora cloacal de PVC de DN 315 mm y 15 metros de cañería cloacal de PRFV de DN 600 mm, con sus respectivos accesorios, la construcción de 4 cámaras de acceso, 1 cámara para desagüe, 1 cámara para válvula de aire y 1 cámara para boca de descarga, la instalación de 2 válvulas esclusas y 1 válvula de aire, la ejecución de 2 empalmes, uno a la cañería de salida de la Estación de Bombeo y otra a la boca de registro existente perteneciente a 1° Cloaca Máxima y la construcción de 1 cruce de pluvial.","","Avellaneda","Avellaneda",19813,"2021-06-24","AYSA - Fuente 1.1.",46689158.63,0
"2.41","ESTACIÓN DE BOMBEO CLOACAL MONTES DE OCA REGIÓN SUDESTE - OBRA CIVIL (2160306)","CLOACA","La Estación de Bombeo Cloacal Montes de Oca tiene por objeto la evacuación de los efluentes cloacales la mayoría de los vuelcos de las redes secundarias de la zona de los barrios Alianza, Villa Tranquila e Isla Maciel, ubicado en el Partido de Avellaneda.
Los efluentes serán conducidos a traves de la red primaria cloacal Colector Montes de Oca, llegarán a una boca de registro ubicada al ingreso de la estación y desde la estación, mediante cañería a presión de DN 315mm y con una longitud aproximada de 960m se bombearán los líquidos hasta el vuelco final en la 1° Cloaca Máxima. Las obras a ejecutar consisten en la ingeniería detallada, la provisión, transporte de equipos electromecánicos, montaje y puesta en funcionamiento de la estación de bombeo de líquidos cloacales.
El diseño adoptado cuenta con tres (3) bombas sumergibles aptas para líquido cloacal, dos (2) en servicio y una (1) en reserva con un caudal nominal de 58,5 l/s y una altura manométrica de 22 mca.","","Avellaneda","Avellaneda",19813,"2021-06-24","AYSA - Fuente 1.1.",197323449.36,23
"2.42","ESTACIÓN DE BOMBEO CLOACAL MONTES DE OCA REGIÓN SUDESTE - OBRA ELECTRO (2160307)","CLOACA","La Estación de Bombeo Cloacal Montes de Oca tiene por objeto la evacuación de los efluentes cloacales la mayoría de los vuelcos de las redes secundarias de la zona de los barrios Alianza, Villa Tranquila e Isla Maciel, ubicado en el Partido de Avellaneda.
Los efluentes serán conducidos a traves de la red primaria cloacal Colector Montes de Oca, llegarán a una boca de registro ubicada al ingreso de la estación y desde la estación, mediante cañería a presión de DN 315mm y con una longitud aproximada de 960m se bombearán los líquidos hasta el vuelco final en la 1° Cloaca Máxima. Las obras a ejecutar consisten en la ingeniería detallada, la provisión, transporte de equipos electromecánicos, montaje y puesta en funcionamiento de la estación de bombeo de líquidos cloacales.
El diseño adoptado cuenta con tres (3) bombas sumergibles aptas para líquido cloacal, dos (2) en servicio y una (1) en reserva con un caudal nominal de 58,5 l/s y una altura manométrica de 22 mca.","","Avellaneda","Avellaneda",19813,"2021-06-24","AYSA - Fuente 1.1.",161328240.02,0
"3.5","Villa 1-11-14- Extensión Red de agua potable para Mz 17, 18 y 19 para conexión con red de Aysa.","Agua","Tendido del conducto a conectar en la red de agua potable que pasa por calle Bonorino para completar alimentación del tendido en espera sobreManzana 18.  La longitud de tendido nuevo es de 150.00 metros lineales y será de  03´´","UGIS","CABA","CABA",2976,"0000-00-00","CIUDAD",0,100
"3.6","Obra de Infraestructura Villa 20 - Mz 19 - Red de agua potable","Agua","Por la necesidad de conectar correctamente la red de agua de las MZ 19 Y 18 se procederá al empalme desde el tendido nuevo sobre la calle Chilavert y el caño que alimentaba dichas manzanas para mejorar la red antigua. ","UGIS ","CABA","CABA",1008,"0000-00-00","CIUDAD",431208.67,100
"3.7 // 3.8","ESTACIÓN DE BOMBEO CLOACAL COCA COLA - FEMSA - OBRA CIVIL - ELECTROMECÁNICA","Cloaca","Las obras a ejecutar consisten en la ingeniería detallada, la provisión, transporte de equipos electromecánicos, montaje y puesta en funcionamiento de una nueva estación de bombeo de
líquidos cloacales.
El caudal a bombear por el sistema será como mínimo de 70 l/s a una altura máxima total de 8,5 metros. El diseño adoptado cuenta con dos (2) bombas sumergibles de rotor autolimpiante o cerrado de 1 o 2 canales aptas servicio pesado de líquido cloacal, una en servicio y otra en reserva, ambas serán de velocidad fija. Cada bomba tendrá una capacidad de 96,0 l/seg a una altura manométrica total de 9,0 mca. Las mencionadas electrobombas se instalarán dentro del pozo de bombeo a construir en hormigón al cual llegan los afluentes industriales tratados.
Desde la cámara de medición de caudal existente ubicada frente a la Estación de bombeo aproximadamente a 2 metros, hasta la pared de la cámara de aspiración se proveerá e instalará una cañería de llegada diámetro 315 mm, construida en PVC Clase 10. 
El funcionamiento de la Estación será automático a través del PLC  Medidor hidrostático de nivel por lo que el arranque y parada de las electrobombas será en función de los niveles del
pozo de acuerdo a los caudales afluentes. El diámetro de las cañerías de descarga será DN 250 mm. Las juntas de desarme, válvulas de retención del tipo a bola y esclusa serán del diámetro correspondiente a la cañería de descarga. para una presión de trabajo de 10 Kg/cm2. La junta de desarme será del tipo autoportante a los efectos de soportar el esfuerzo axial.
Las válvulas de retención, esclusa y juntas de desarme se instalarán en una cámara construida en hormigón. En correspondencia con las válvulas se proveerán e instalarán tapas con marco
herméticas construidas en chapa y reforzada con perfiles de acero inoxidable AISI 304 para acceso y posibilidad de retiro de válvulas.
También deberán proveerse y montarse la totalidad de las instalaciones de fuerza motriz, iluminación, señalización, comunicación, y dispositivos necesarios para el funcionamiento de
todas las instalaciones.","AySA","BARRACAS","CABA",0,"2015-04-13","AYSA - Fuente 1.1.",3698575.1,100
