WKT,Dependencia,Organismo,Nombre,Dirección,Partido,Teléfono
"POINT (-58.598147 -34.520277)",Unidad penitenciaria,Ministerio de Justicia,San Martin,Camino del Buen Ayre y Camino De Benedetti (José León Suárez) partido de General San Martín.– (CP 1655),General San Martín,(011) 4729-4324/4307
"POINT (-60.986118 -34.58046)",Unidad penitenciaria,Ministerio de Justicia,Alcaidia Penitenciaria Junin,Ruta 188 Km. 162 (6000) –Junín KILOMETRO,Junín,(0236) 4434-650/4430-377/4432-572
"POINT (-57.676861 -37.996329)",Unidad penitenciaria,Ministerio de Justicia,Mar del Plata,"Camino San Francisco de Asis SNº, Batán (7601) - Mar del Plata.",General Pueyrredón,(0223) 464-1476/77
"POINT (-57.473319 -35.104643)",Unidad penitenciaria,Ministerio de Justicia,Magdalena,Ruta Provincial 11 km. 111 ½ (1913) - Magdalena,Magdalena,(02221) 45-4017 / 4018 / 4004
"POINT (-59.856009 -36.756008)",Unidad penitenciaria,Ministerio de Justicia,Femenina – Azul,Calle Comisario Aldaz S/N - (7300) Azul,Azul,(02281) 433198/896
"POINT (-58.68761 -34.498313)",Unidad penitenciaria,Ministerio de Justicia,Alcaidia Penitenciaria Malvinas Argentinas,Av Perito Moreno N°3171 (1613) Los Polvorines (Malv Arg),Malvinas Argentinas,(011) 4660-3210 / 5202
"POINT (-58.245512 -34.936577)",Unidad penitenciaria,Ministerio de Justicia,Florencio Varela,"Calle 1077, La Capilla, Buenos Aires (CP 1888) - Bs. As",Florencio Varela,(02225) 498975 / 976
"POINT (-58.788654 -34.530575)",Unidad penitenciaria,Ministerio de Justicia,Alcaidia Penitenciaria Jose C Paz.,"Salvatori 300, José C. Paz, Buenos Aires",José C. Paz,(02320) 450659 / 450672
"POINT (-58.057663 -34.958898)",Unidad penitenciaria,Ministerio de Justicia,JEFATURA DE COMPLEJO PENITENCIARIO LA PLATA,Av. 520 y 197 Nº 8434 - Melchor Romero (La Plata),La Plata,(0221) 4916653/6652
"POINT (-58.042615 -34.999531)",Unidad penitenciaria,Ministerio de Justicia,JEFATURA DE COMPLEJO PENITENCIARIO OLMOS,197 y 49 Nº 890 (Lisandro Olmos),La Plata,(0221) 4961820/1716
"POINT (-59.426132 -34.640116)",Unidad penitenciaria,Ministerio de Justicia,JEFATURA DE COMPLEJO PENITENCIARIO NORTE,50 esquina 23 S/Nº Mercedes,Mercedes,(02324) 424791
"POINT (-57.675188 -38.004752)",Unidad penitenciaria,Ministerio de Justicia,JEFATURA DE COMPLEJO PENITENCIARIO ESTE,"Camino San Francisco de Asis SNº, Batán (7601) - Mar del Plata.",General Pueyrredón,(0223) 4640955
"POINT (-62.275008 -38.685148)",Unidad penitenciaria,Ministerio de Justicia,JEFATURA DE COMPLEJO PENITENCIARIO SUR,Guido Spano Nº 2500 E/ de Angelis y E.  Gonzalez (Bahia Blanca),Bahía Blanca,(0291) 4882618
"POINT (-60.226401 -36.841674)",Unidad penitenciaria,Ministerio de Justicia,COMPLEJO PENITENCIARIO CENTRO ZONA SUR,Calle P. Legorburu y Av. Centenario (CP 7401) – Olavarría,Olavarría,(02284) 446510
"POINT (-60.015803 -36.027751)",Unidad penitenciaria,Ministerio de Justicia,COMPLEJO PENITENCIARIO CENTRO ZONA NORTE,San Martin S/Nº  y Av. Belgrano (General Alvear),General Alvear,(02344) 481076
"POINT (-58.962235 -34.237063)",Unidad penitenciaria,Ministerio de Justicia,COMPLEJO PENITENCIARIO CAMPANA,Ruta 6 Km. 6 Campana,Campana,(03489) 468481
"POINT (-57.475791 -35.104349)",Unidad penitenciaria,Ministerio de Justicia,COMPLEJO PENITENCIARIO MAGDALENA,Ruta 11 km 11 Magdalena,Magdalena,(02221) 453762
"POINT (-58.588593 -34.702142)",Unidad penitenciaria,Ministerio de Justicia,COMPLEJO PENITENCIARIO CONURBANO BONAERENSE SUR - OESTE,"Lascano y Roma, Isidro Casanova",La Matanza,(011) 44660073
"POINT (-58.251017 -34.931766)",Unidad penitenciaria,Ministerio de Justicia,COMPLEJO PENITENCIARIO FLORENCIO VARELA,Calle Buenos Aires y 1077 La Capilla (Florencio Varela),Florencio Varela,(02225) 498508
"POINT (-58.59442 -34.524516)",Unidad penitenciaria,Ministerio de Justicia,COMPLEJO PENITENCIARIO SAN MARTIN,Camino del Buen Ayre y Camino De Benedetti (José León Suárez) partido de General San Martín.– (CP 1655),General San Martín,(011) 47220377
