WKT,Dependencia,Organismo,Nombre,Dirección,Partido,Teléfono,Representa
"POINT (-60.46495008 -34.64236865)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CHACABUCO,SAN JUAN 25,Chacabuco,2352431120/2352431166/2352428629,SUBCOMISARIO ABELEYRA PABLO JAVIER
"POINT (-61.36633133 -35.62281837)",Comisaría,Ministerio de Seguridad,CRIA.CARLOS CASARES,SAN MARTIN 328,Carlos Casares,02395-452428/454522,COMISARIO NOBLE CLAUDIO DARIO
"POINT (-62.26319961 -38.75826334)",Comisaría,Ministerio de Seguridad,CRIA.BAHIA BLANCA 6TA.,LIBERTAD 2212 (EX SUBCRIA VILLA ROSAS),Bahía Blanca,0291 455-3011,SUBCOMISARIO CEMINO PABLO NESTOR
"POINT (-62.41332667 -37.01713234)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GUAMINI 2DA,SAN MARTIN 145,Guaminí,2929480616/2929480667/2929480013/2929480512,COMISARIO HERRERO GERMAN DAVID
"POINT (-56.67943002 -36.69472696)",Comisaría,Ministerio de Seguridad,CRIA.DE LA COSTA 4TA,ESQUI 450 ,La Costa,02257-460200,COMISARIO LEYES RICARDO RUBEN
"POINT (-56.681043 -36.721324)",Comisaría,Ministerio de Seguridad,CRIA.DE LA COSTA 2DA,LIBERTADOR 609,La Costa,02257-420013/ 73,COMISARIO SALA RUBEN HORACIO
"POINT (-56.68775415 -36.76381227)",Comisaría,Ministerio de Seguridad,SUBCRIA.NUEVA ATLANTIS,ROLDAN Y DIAG AYACUCHO,La Costa,0225-7451022,SUBCOMISARIO AGUILERA RODRIGUEZ JAVIER A.
"POINT (-56.69146915 -36.54417997)",Comisaría,Ministerio de Seguridad,CRIA.DE LA COSTA 1RA,41 Y 3 ,La Costa,02246-420227/422925,COMISARIO HEREDIA SANDRO JULIO E.
"POINT (-56.6916428 -36.4881915)",Comisaría,Ministerio de Seguridad,CRIA.D.L.COSTA 6TA LAS TONINAS,CALLE 1 E/ CALLE 24 Y CALLE 26,La Costa,2246431868,SUBCOMISARIO HARISGARAT JORGE GASTON
"POINT (-56.69237049 -36.57637967)",Comisaría,Ministerio de Seguridad,CRIA.DE LA COSTA 5TA,74 ENTRE 3 Y 4  ,La Costa,02246-434600,COMISARIO MARTINEZ DIEGO MARIANO
"POINT (-56.70006218 -36.60555646)",Comisaría,Ministerio de Seguridad,SUBCRIA.COSTA DEL ESTE,2 Y LOS ALELIES,La Costa,2246434303,COMISARIO BISIGNANO OMAR ESTEBAN
"POINT (-56.726489 -36.358502)",Comisaría,Ministerio de Seguridad,CRIA.DE LA COSTA 3RA,AVE SAN MARTIN NRO 581,La Costa,02252-421815 / 013,COMISARIO FACIO ESTEBAN GERMAN
"POINT (-56.73363033 -36.69335365)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PAVON,CUARTEL IV,General Lavalle,2257457090/02257-429055,SUBCOMISARIO DATTOMA VICTOR EDUARDO
"POINT (-56.871358 -37.111503)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PINAMAR,JUPITER Y AVE ARQ JORGE BUNGE,Pinamar,02254-491204/08/01/02,COMISARIO ROBLES GERARDO OSCAR
"POINT (-56.88621011 -37.14756205)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PINAMAR 3RA-V.MAR,CORBETA JULIETA Y BATHURS,Pinamar,,COMISARIO ACOSTA MARCELO JAVIER
"POINT (-56.89678056 -37.12988524)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PINAMAR 2DA,ANSPACH Y AYACUCHO,Pinamar,2254491226/2254491224,COMISARIO GOMEZ LUIS ALEJANDRO
"POINT (-56.93865386 -36.40804399)",Comisaría,Ministerio de Seguridad,,MITRE 986,General Lavalle,2252491099/2252491234,
"POINT (-56.970797 -37.254746)",Comisaría,Ministerio de Seguridad,EST.POL.COM.VILLA GESELL 1RA,PASEO 105 E/ 4 Y 5,Villa Gesell,02255-462203/463555,COMISARIO MORALES MARCELO GABRIEL
"POINT (-56.994915 -37.286438)",Comisaría,Ministerio de Seguridad,EST.POL.COM.VILLA GESELL 2DA,PASEO 141 E/ 3 Y 4,Villa Gesell,02255-472203/470381,SUBCOMISARIO MONTOYA EZEQUIEL LUIS RAMON
"POINT (-57.02987344 -37.31717611)",Comisaría,Ministerio de Seguridad,EST.POL.COM.VILLA GESELL 3RA,HOUSSAY Y DEL PLATA,Villa Gesell,2255468901,
"POINT (-57.133804 -36.99478)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GRAL.MADARIAGA,IRIGOYEN 528,General Madariaga,02267421204/4313,
"POINT (-57.343012 -35.38708)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PUNTA INDIO,34 Y 23,Punta Indio,2221481366/2221481777/2221480440,SUBCOMISARIO ERCEG GUSTAVO ANTONIO
"POINT (-57.50827747 -37.8466987)",Comisaría,Ministerio de Seguridad,EST.POL.COM.SANTA CLARA DEL M.,ACAPULCO N° 5 Y DEL ARROYO,Mar Chiquita,2234693602/2234602386,COMISARIO CORBELA PAULO ANIBAL
"POINT (-57.51744 -35.081333)",Comisaría,Ministerio de Seguridad,EST.POL.COM.MAGDALENA,YRIGOYEN 1001,Magdalena,02221-452413/452473,SUBCOMISARIO IBARRA MARCELO EZEQUIEL
"POINT (-57.529982 -37.928395)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 15TA,RUTA 11 KM22- GENERAL PUEYRREDON,General Pueyrredón,0223-4715225/ 5226,COMISARIO BELFIORE MIGUEL ANGEL
"POINT (-57.54166 -38.006499)",Comisaría,Ministerio de Seguridad,SUBCRIA.CASINO,BVAR MARITIMO Y LAS HERAS,General Pueyrredón,2234920027,SUBCOMISARIO GARCIA HUGO ESTEBAN NAZARENO
"POINT (-57.552052 -38.062069)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 5TA,PUAN 2251 - GENERAL PUEYRREDON,General Pueyrredón,0223-4842578/2328,COMISARIO HARISMENDI OSCAR LEONARDO
"POINT (-57.55321 -37.996838)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 1RA,AVE INDEPENDENCIA 1751,General Pueyrredón,02234949880/2234947515/2234911242,COMISARIO VULCANO EDGARDO ANDRES
"POINT (-57.561557 -37.954609)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 7MA,JOAQUIN V GONZALEZ Y ACEVEDO - GENERAL PUEYRREDON,General Pueyrredón,0223-4791316/ 5332,COMISARIO ROBLEDO GABRIEL LUIS
"POINT (-57.576454 -38.109115)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 13RA,RUTA PROV 11 KM 22 Y PLAYA SERENA GENERAL PUEYRREDON,General Pueyrredón,0223-4672555,SUBCOMISARIO DIPERNA CARLOS ALBERTO
"POINT (-57.581191 -37.992482)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 4TA,CHILE Y ALBERTI - GENERAL PUEYRREDON,General Pueyrredón,0223-4784291/475-9357,COMISARIO DANIEL CHRISTIAN GUSTAVO
"POINT (-57.584388 -37.974029)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 6TA,REP DEL LIBANO 1130 - GENERAL PUEYRREDON,General Pueyrredón,0223-4775044/4701168,COMISARIO HEREDIA EDGAR MARCELO
"POINT (-57.596344 -38.020465)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 16TA,CAMUZZO 1567,General Pueyrredón,02234811602/4812638,COMISARIO FONTANA CRISTIAN DANIEL
"POINT (-57.60360475 -37.88859646)",Comisaría,Ministerio de Seguridad,SUBCRIA.CAMET,LA LAURA Y MOYANO (MOYANO 1550),General Pueyrredón,2234600102/02234600101,SUBCOMISARIO CRUZ LORENA VERONICA
"POINT (-57.613809 -37.970132)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 12DA,BOLIVAR Y LEGUIZAMON - GENERAL PUEYRREDON,General Pueyrredón,0223-4875513,SUBCOMISARIO LOPEZ SILVIO FABIAN
"POINT (-57.614839 -37.996425)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 11RA,180 Y ORTIZ DE ZARATE - GENERAL PUEYRREDON,General Pueyrredón,0223-4652549,COMISARIO BONOLDI OSVALDO JULIAN
"POINT (-57.626165 -38.023041)",Comisaría,Ministerio de Seguridad,SUBCRIA.PARQUE HERMOSO,190 Y 69 - GENERAL PUEYRREDON,General Pueyrredón,0223-4651288,SUBCOMISARIO CAÑETE CLAUDIO GABRIEL
"POINT (-57.705066 -38.007481)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 8VA,RUTA 88 KM 13 - GENERAL PUEYRREDON,General Pueyrredón,0223-4642244,COMISARIO SENRRA LUIS ALBERTO
"POINT (-57.72742137 -37.44460911)",Comisaría,Ministerio de Seguridad,EST.POL.COM.MAR CHIQUITA,EZEIZA N° 599,Mar Chiquita,2265432253/2265432325,COMISARIO FIGUEROA DARIO IGNACIO
"POINT (-57.760032 -37.909687)",Comisaría,Ministerio de Seguridad,CRIA.MAR DEL PLATA 14TA,RUTA NAC 226 KM 17 - GENERAL PUEYRREDON,General Pueyrredón,0223-4630113,COMISARIO ARIZALA ADRIAN ALFREDO
"POINT (-57.791262 -36.642258)",Comisaría,Ministerio de Seguridad,CRIA.GRAL.GUIDO,BELGRANO Y CEPEDA - GENERAL GUIDO,General Guido,02268-491019/491110,SUBCOMISARIO NOGUEIRA RUBEN HORACIO
"POINT (-57.81255319 -36.09350371)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CASTELLI,SAN MARTIN Y CARLOS PELLEGRINI,Castelli,02245-480113/481111,COMISARIO DOMENICHELLI LEANDRO GABRIEL
"POINT (-57.839761 -38.27264)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GRAL.ALVARADO, MITRE 1137,General Alvarado,2291420613/02291421548,
"POINT (-57.851174 -34.878161)",Comisaría,Ministerio de Seguridad,CRIA.BERISSO 2DA,AV. MONTEVIDEO NRO. 3491,Berisso,0221-4620707/0211,SUBCOMISARIO GALLO LEONARDO GABRIEL
"POINT (-57.881098 -36.862881)",Comisaría,Ministerio de Seguridad,EST.POL.COM.MAIPU,RIVADAVIA 340,Maipú,02268-421115,SUBCOMISARIO UVIEDO DARIO NAZARENO
"POINT (-57.887263 -34.928756)",Comisaría,Ministerio de Seguridad,CRIA.BERISSO 3RA,126 Y 35,Berisso,0221-4862831/7127,SUBCOMISARIO PASSERINI MOUSSEGNE CHRISTIAN
"POINT (-57.89432226 -35.87521995)",Comisaría,Ministerio de Seguridad,EST.POL.COM.LEZAMA,RIVADAVIA Y SAN MARTIN,Lezama,02242-432103/432107,SUBCOMISARIO MEDLEY PABLO GERMAN
"POINT (-57.902431 -34.863006)",Comisaría,Ministerio de Seguridad,CRIA.ENSENADA 1RA,CESTINO E/ SIDOTTI Y SAN MARTIN,Ensenada,0221-4691111/2223,SUBCOMISARIO PERERA MAXIMILIANO JAVIER
"POINT (-57.90464 -34.926172)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 16TA,121 E/ 81 Y 82,La Plata,2214574553,
"POINT (-57.90536168 -35.00482637)",Comisaría,Ministerio de Seguridad,SUBCRIA.ARANA,640 Y 141,La Plata,0221-4910316,
"POINT (-57.921939 -34.906956)",Comisaría,Ministerio de Seguridad,CRIA.BERISSO 4TA,6 E/ 125 Y 124,Berisso,0221-4231924/4276558,COMISARIO ROLDAN MIGUEL ANGEL
"POINT (-57.92513 -34.932709)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 8VA,7 E/ 75 Y 74,La Plata,0221-4577124/ 5/ 4524322,COMISARIO CASA MARTIN RAFAEL BONIFACIO
"POINT (-57.937604 -34.898685)",Comisaría,Ministerio de Seguridad,CRIA.ENSENADA 3RA,47 E/ 122 Y 123,Ensenada,0221-4231743/4245654,SUBCOMISARIO DIGIACOMO CRISTIAN ANDRES
"POINT (-57.940087 -34.91812)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 9NA,5 E/ 59 Y 60,La Plata,0221-4231953/54/4213978,SUBCOMISARIO SAEZ MATIAS ALFREDO
"POINT (-57.95055002 -34.91894484)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 1RA,AV. 53 e/ 10 y 9,La Plata,0221-423-1945/6,
"POINT (-57.963126 -34.906217)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 2DA,38 E/ 7 Y 8,La Plata,0221-4231947/48/4230649,COMISARIO TOLABA ALBERTO DANIEL
"POINT (-57.966389 -34.892078)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 6TA,1 E/ 527 Y 528,La Plata,2214258063/4231952/4231951,COMISARIO INSPECTOR CABIRON MARTIN ANDRES
"POINT (-57.972949 -34.921877)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 4TA,DIAG. 73 E/ 21 Y 22,La Plata,0221-4231949/50,COMISARIO SANCHEZ CARLOS DARIO
"POINT (-57.978855 -34.905771)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 11RA,530 E/ 14 Y 15,La Plata,2214270544/4231955,SUBCOMISARIO VIZCARRA JUAN JOSE
"POINT (-57.979922 -34.812855)",Comisaría,Ministerio de Seguridad,CRIA.ENSENADA 2DA,"BROWN, ALTE. E/ 94 Y 92",Ensenada,0221-4661447/1234,COMISARIO TORALES GUSTAVO GABRIEL
"POINT (-58.014428 -35.577861)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CHASCOMUS 1RA,LASTRA Y SARMIENTO,Chascomús,02241-422515/423901,SUBCOMISARIO IRAZU CESAR PABLO
"POINT (-58.01565249 -34.90354186)",Comisaría,Ministerio de Seguridad,SUBCRIA.HERNANDEZ,511 ENTRE 29 Y 30,La Plata,2214715492,SUBCOMISARIO BENITEZ FRANCISCO JAVIER
"POINT (-58.048434 -34.871829)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 10MA,2 E/ 12 Y 13,La Plata,2214721366/4722928/4722909,COMISARIO CLAURE JUAN ANGEL DANIEL
"POINT (-58.053611 -35.000519)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 15TA,AVE 44 NRO. 5350,La Plata,022-4963036,SUBCOMISARIO QUINTANA FERNANDO ROBERTO
"POINT (-58.091457 -34.989132)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 7MA,520 E/ 213 Y 212,La Plata,0221-4913300/3500/6300,COMISARIO SOLER JUAN SEBASTIAN
"POINT (-58.139262 -36.005283)",Comisaría,Ministerio de Seguridad,EST.POL.COM.PILA,7 E/ 4 Y 6,Pila,02242-498231,SUBCOMISARIO SAN MARTIN GASTON
"POINT (-58.172219 -34.87899)",Comisaría,Ministerio de Seguridad,CRIA.BERAZATEGUI 5TA,537 E/ 613 Y 611,Berazategui,02229-491512/491111,SUBCOMISARIO QUINTANA CLAUDIO RUBEN
"POINT (-58.182001 -34.832245)",Comisaría,Ministerio de Seguridad,CRIA.BERAZATEGUI 3RA,415 E/ 457A Y 458,Berazategui,02229-452485/441094,COMISARIO INSPECTOR PAOLA LEONARDO JAVIER
"POINT (-58.183064 -34.806274)",Comisaría,Ministerio de Seguridad,CRIA.BERAZATEGUI 4TA,52B HERMELO E/ 135 Y 134,Berazategui,02229-440476/440606,SUBCOMISARIO KAUFMANN JORGE OMAR
"POINT (-58.198017 -34.789786)",Comisaría,Ministerio de Seguridad,CRIA.BERAZATEGUI 2DA,364 E/ 311 Y 312A,Berazategui,011-42588788/8551/,SUBCOMISARIO OVIEDO CARLOS OSCAR
"POINT (-58.212306 -34.759203)",Comisaría,Ministerio de Seguridad,CRIA.BERAZATEGUI 1RA,11 E/ 147 Y 148,Berazategui,011-42561133/2532,COMISARIO RODRIGUEZ RAMON ANTONIO
"POINT (-58.226658 -34.825827)",Comisaría,Ministerio de Seguridad,CRIA.FLORENCIO VARELA 4TA,"LOS POETAS E/ GONZALEZ, JOAQUIN V. Y RUBEN DARIO",Florencio Varela,1142214122,COMISARIO LANZA CARLOS DANIEL
"POINT (-58.232287 -34.749252)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 6TA,CUENCA NRO. 5165,Quilmes,011-42561144/42161876,SUBCOMISARIO RISSO CARLOS MARTIN
"POINT (-58.253245 -34.720874)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 1RA,SARMIENTO E/ RIVADAVIA Y ALEM,Quilmes,011-4254-2724,COMISARIO KAPUST ALEJANDRO MAXIMILIANO
"POINT (-58.253996 -37.847447)",Comisaría,Ministerio de Seguridad,EST.POL.COM.BALCARCE,URIBURU 670,Balcarce,02266-424013/423705,
"POINT (-58.260069 -34.727612)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 3RA,12 DE OCTUBRE NRO. 55,Quilmes,011-42534444/2520,COMISARIO NUÑEZ JUAN RAMON
"POINT (-58.262319 -34.789852)",Comisaría,Ministerio de Seguridad,CRIA.FLORENCIO VARELA 3RA,AV. SENZABELLO E/ NECOCHEA Y PARRAVECINI,Florencio Varela,1142553855,COMISARIO FERNANDEZ RAUL ANGEL
"POINT (-58.266732 -34.920996)",Comisaría,Ministerio de Seguridad,CRIA.FLORENCIO VARELA 5TA,RUTA 53 E/ FIGUEROA ALCORTA Y AV. ROCA,Florencio Varela,02225498314/498097,COMISARIO MALDONADO FABIAN EMILIO
"POINT (-58.270626 -34.707895)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 8VA,PARANA NRO. 230,Quilmes,011-4252-8152/0677,COMISARIO COCH MIGUEL ANGEL
"POINT (-58.278449 -34.806439)",Comisaría,Ministerio de Seguridad,CRIA.FLORENCIO VARELA 1RA,"AV. SAN MARTIN E/ AYACUCHO Y NEWBERY, JORGE",Florencio Varela,1142551412,COMISARIO FERREIRA SERGIO GUSTAVO
"POINT (-58.283062 -34.758892)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 9NA,"GUTIERREZ (336) E/ ROCA, ARGENTINO (382) Y BLANCO,",Quilmes,011-42009000/8143,COMISARIO DARNET ARIEL GUSTAVO
"POINT (-58.283093 -34.710424)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 2DA,25 DE MAYO NRO. 87,Quilmes,011-4251-8147/48,SUBCOMISARIO RUDAKOFF TOMAS ANTONIO
"POINT (-58.29301777 -35.07401796)",Comisaría,Ministerio de Seguridad,SUBCRIA.DOMSELAAR,FLORENTINO AMEGHINO Y BELGRANO,San Vicente,2225491237,SUBCOMISARIO PANATTI MARCOS JAVIER
"POINT (-58.301602 -34.703719)",Comisaría,Ministerio de Seguridad,SUBCRIA.DON BOSCO,PILCOMAYO E/ MAIPU Y AYACUCHO,Quilmes,1142522701,SUBCOMISARIO AYALA JOSE ALBERTO
"POINT (-58.302328 -34.805837)",Comisaría,Ministerio de Seguridad,CRIA.FLORENCIO VARELA 2DA,MARTIN FIERRO E/ EL ALJIBE Y EL GAUCHO,Florencio Varela,1142552686,COMISARIO DONADIO SERGIO WALTER
"POINT (-58.303145 -34.731742)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 5TA,MOSCONI E/ JUJUY Y LA RIOJA,Quilmes,011-42511845/1854,COMISARIO MURUCHI CARLOS ERNESTO
"POINT (-58.313475 -34.717356)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 7MA,162 E/ PAMPA Y LOS ANDES,Quilmes,011-42700848/0310,SUBCOMISARIO RUIZ RICARDO FERNANDO
"POINT (-58.313558 -34.70091)",Comisaría,Ministerio de Seguridad,CRIA.AVELLANEDA 5TA,LAS FLORES NRO. 363,Avellaneda,011-4207-0375/4444,SUBCOMISARIO VILLALBA ROLANDO JAVIER
"POINT (-58.315516 -35.516589)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GENERAL PAZ,CAMPOMAR 2970,General Paz,2241481004/2241481134,SUBCOMISARIO PAZ FERNANDO ARIEL
"POINT (-58.32001568 -34.78809259)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 10MA,MARGARITA Y ROSA,Almirante Brown,1142771000,COMISARIO AGUIRRE ALEJANDRO GABRIEL
"POINT (-58.33497 -34.79867)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 6TA,BOLLINI NRO. 650,Almirante Brown,1142911390,SUBCOMISARIO SANCHEZ CRISTIAN DARIO
"POINT (-58.341667 -34.686299)",Comisaría,Ministerio de Seguridad,CRIA.AVELLANEDA 4TA,LUJAN E/ AV. MITRE Y BRANDSEN,Avellaneda,011-4207-7809/3333,
"POINT (-58.343752 -34.657899)",Comisaría,Ministerio de Seguridad,CRIA.AVELLANEDA 3RA,DEBENEDETTI E/ HUERGO Y CAMPANA,Avellaneda,011-42036706,SUBCOMISARIO OVEJERO CLAUDIO ALBERTO
"POINT (-58.34759 -34.703826)",Comisaría,Ministerio de Seguridad,CRIA.AVELLANEDA 7MA,OYUELAS Y CASACUBERTA,Avellaneda,011-4227-5656/7799,SUBCOMISARIO HERRERA SILVIO RODRIGO
"POINT (-58.347839 -34.732276)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 6TA,"MONASTERIO E/ GUIDO, GRAL. Y CAAGUAZU",Lanús,011-42466224/8218,SUBCOMISARIO BALSYS FABIAN ANTONIO
"POINT (-58.349809 -34.819316)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 8VA,RIO IGUAZU ENTRE RIO BLANCO Y RIO TUNUYAN- ALMIRANTE BROWN,Almirante Brown,1142685104,SUBCOMISARIO LOPEZ JUAN OSVALDO
"POINT (-58.355689 -34.798119)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 5TA,"DARDO ROCHA E/ AGUERO, JULIAN Y GUEMES",Almirante Brown,1142911444,COMISARIO SPALLETTA OMAR FELIPE
"POINT (-58.360398 -34.765516)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 6TA,GOLONDRINA NRO. 2950,Lomas de Zamora,01142648777/42046774,COMISARIO CORDOBA SERGIO LUIS
"POINT (-58.366321 -34.723169)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 8VA,"GRAL PICO E/ MONTEVIDEO, S. DE Y ITUZAINGO",Lanús,011-42465129/42209087,COMISARIO MEDINA CARLOS ALBERTO
"POINT (-58.367178 -34.78554)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 9NA,BYNON NRO. 3137,Almirante Brown,42196435/42194017/42194018,SUBCOMISARIO ARCE FABIAN DARIO
"POINT (-58.367915 -34.664141)",Comisaría,Ministerio de Seguridad,CRIA.AVELLANEDA 1RA,LAVALLE E/ AV. PALAA Y AV. BELGRANO,Avellaneda,011-4222-2929,COMISARIO RAMIREZ JUAN ARIEL
"POINT (-58.372389 -34.687223)",Comisaría,Ministerio de Seguridad,CRIA.AVELLANEDA 6TA,CARABELAS E/ ELIZALDE Y DONOVAN,Avellaneda,011-42053138/42044444,SUBCOMISARIO FERREYRA ERNESTO FABIAN
"POINT (-58.3738177 -34.91830204)",Comisaría,Ministerio de Seguridad,CRIA.PTE.PERON,9 Y 35,Presidente Perón,02224-471206,COMISARIO GARCIA RAUL ALEJANDRO
"POINT (-58.374623 -34.986381)",Comisaría,Ministerio de Seguridad,CRIA.SAN VICENTE 2DA,MITRE E/ SALTA Y RACONE,San Vicente,02225-421115/423524,SUBCOMISARIO BOGADO RAMON ARTURO
"POINT (-58.3749 -34.736396)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 10MA,AGUILAR NRO. 3635,Lanús,011-42468344/4220,COMISARIO VICENTE ROLANDO CLAUDIO
"POINT (-58.377957 -34.661562)",Comisaría,Ministerio de Seguridad,CRIA.AVELLANEDA 2DA,GIRIBONE NRO. 495,Avellaneda,01142038460 / 42019131,SUBCOMISARIO DELGADO SERGIO GUSTAVO
"POINT (-58.379937 -34.763582)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 8VA,"IRIARTE E/ ZEBALLO Y GONZALEZ, J.B.",Lomas de Zamora,01142443344/42436865,COMISARIO MOCCHETTI RICARDO DANIEL
"POINT (-58.38733 -34.708123)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 2DA,"O'HIGGINS E/ MONTEVIDEO, S. Y ITUZAINGO",Lanús,011-42412382/3333,SUBCOMISARIO GONZALEZ EMANUEL JUAN PABLO
"POINT (-58.388383 -34.856294)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 4TA,AV. AVIACION NRO. 461,Almirante Brown,1142970084,COMISARIO DOTTORI CRISTIAN ANDRES
"POINT (-58.388965 -34.82053)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 2DA,9 DE JULIO E/ AV. ESPORA Y QUINTANA,Almirante Brown,1142990444,COMISARIO LOPEZ RAUL
"POINT (-58.389711 -34.893162)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 7MA,SARMIENTO NRO. 498,Almirante Brown,0222442 2283,
"POINT (-58.393039 -34.703967)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 1RA,D. VALLE IBERLUCEA NRO. 2818,Lanús,011-42410049/42479604,COMISARIO MARIN MARTIN HUGO
"POINT (-58.395005 -34.746195)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 2DA,"VERGARA, VALENTIN E/ GASCON Y CHACABUCO",Lomas de Zamora,01142424444/42423333,SUBCOMISARIO QUINTANA RICARDO
"POINT (-58.39512 -34.778526)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 3RA,STA MARIA DE ORO NRO. 330,Lomas de Zamora,01142434086/42444444,COMISARIO MENDEZ NESTOR MAURICIO
"POINT (-58.396034 -34.72347)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 4TA,MASPERO NRO. 99,Lanús,011-42416205/42414000,COMISARIO VEGA JUAN JOSE
"POINT (-58.399357 -34.758192)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 1RA,ALEM E/ PORTELA Y SAENZ,Lomas de Zamora,01142452570/42433333,SUBCOMISARIO MORANO OSVALDO ERNESTO
"POINT (-58.408874 -34.690406)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 7MA,"D'ELIA, CNEL. E/ PLAUL, SANTIAGO Y LA RIOJA",Lanús,011-42625633/5790/6413,SUBCOMISARIO PONCE LUIS ANGEL
"POINT (-58.412579 -34.667623)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 3RA,YATAY NRO. 553,Lanús,011-4228-8902/4208-4444,COMISARIO MATUCHESKI FABIO SEBASTIAN
"POINT (-58.416574 -34.699339)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 9NA,"FERNANDEZ, ENRIQUE NRO. 3635",Lanús,011-42626372/0304/6351,COMISARIO GODOY DUILIO MAXIMILIANO
"POINT (-58.419566 -35.021377)",Comisaría,Ministerio de Seguridad,CRIA.SAN VICENTE 1RA,AV. 25 DE MAYO E/ AV. BIOCCA Y CHACABUCO,San Vicente,02225-481037/481418,COMISARIO BOGADO DANIEL AURELIANO
"POINT (-58.423111 -34.684526)",Comisaría,Ministerio de Seguridad,CRIA.LANUS 5TA,WARNES NRO. 3077,Lanús,011-42184606/4208-3344,SUBCOMISARIO MUÑOZ OSVALDO CESAR
"POINT (-58.425585 -34.801127)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 4TA,EUSKAL ECHEA NRO. 277,Lomas de Zamora,01142986100/42986200,SUBCOMISARIO VINAY FABIAN EDUARDO
"POINT (-58.433878 -34.766627)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 9NA,FALUCHO NRO. 84,Lomas de Zamora,01142824433/42820497,SUBCOMISARIO MOYANO DIEGO ALFREDO
